
2025/03/28 18:20:10 [INFO] input: echo 13; cursor_pos: 6; print_st: 0
2025/03/28 18:20:10 [INFO] input: echo 3; cursor_pos: 5; print_st: 0
2025/03/28 18:20:11 [INFO] input: echo3; cursor_pos: 4; print_st: 0
2025/03/28 18:20:11 [INFO] input: ech3; cursor_pos: 3; print_st: 0
2025/03/28 18:20:11 [INFO] input: ec3; cursor_pos: 2; print_st: 0
2025/03/28 18:20:11 [INFO] input: e3; cursor_pos: 1; print_st: 0
2025/03/28 18:20:12 [INFO] input: e; cursor_pos: 1; print_st: -1
2025/03/28 18:20:12 [INFO] input: ; cursor_pos: 0; print_st: -1
2025/03/28 18:20:15 [INFO] input: ./Mak; cursor_pos: 5; print_st: -1
2025/03/28 18:20:16 [INFO] input: ./Ma; cursor_pos: 4; print_st: -1
2025/03/28 18:20:16 [INFO] input: ./M; cursor_pos: 3; print_st: -1
2025/03/28 18:20:16 [INFO] input: ./; cursor_pos: 2; print_st: -1
2025/03/28 18:20:16 [INFO] input: .; cursor_pos: 1; print_st: -1
2025/03/28 18:20:16 [INFO] input: ; cursor_pos: 0; print_st: -1
2025/03/28 18:20:21 [INFO] input: ./inter; cursor_pos: 7; print_st: -1
2025/03/28 18:29:17 [INFO] input: ./inte; cursor_pos: 6; suffixes: [rnal rny]
2025/03/28 18:29:24 [INFO] input: ./inte; cursor_pos: 6; suffixes: [rnal rny]
2025/03/28 18:32:23 [INFO] input: ./inter; cursor_pos: 7; suffixes: [nal ny]
2025/03/28 18:32:28 [INFO] input: ./inter; cursor_pos: 7; suffixes: [nal ny]
2025/03/28 18:32:41 [INFO] input: ./inter; cursor_pos: 7; suffixes: [nal ny]
2025/03/28 18:39:03 [INFO] input: ./inte; cursor_pos: 6; suffixes: [rnal rny]
2025/03/28 18:39:04 [INFO] input: ./intern; cursor_pos: 6; suffixes: [al y]
2025/03/28 18:39:05 [INFO] input: ./intern; cursor_pos: 6; suffixes: [al y]
2025/03/28 18:39:32 [INFO] input: ./int; cursor_pos: 5; suffixes: [ernal erny]
2025/03/28 18:39:33 [INFO] input: ./intern; cursor_pos: 5; suffixes: [al y]
2025/03/28 18:39:33 [INFO] input: ./intern; cursor_pos: 5; suffixes: [al y]
2025/03/28 18:40:18 [INFO] input: ./inter; cursor_pos: 7; suffixes: [nal ny]
2025/03/28 18:40:18 [INFO] input: ./intern; cursor_pos: 7; suffixes: [al y]
2025/03/28 18:40:18 [INFO] input: ./intern; cursor_pos: 7; suffixes: [al y]
2025/03/28 18:41:11 [INFO] input: ./Ma; cursor_pos: 4; suffixes: [kefile]
2025/03/28 18:41:14 [INFO] input: ./int; cursor_pos: 5; suffixes: [ernal erny]
2025/03/28 18:41:14 [INFO] input: ./intern; cursor_pos: 5; suffixes: [al y]
2025/03/28 18:41:15 [INFO] input: ./intern; cursor_pos: 5; suffixes: [al y]
2025/03/28 18:41:16 [INFO] input: ./interna; cursor_pos: 9; suffixes: [l]
2025/03/28 18:41:21 [INFO] input: ls ./int; cursor_pos: 8; suffixes: [ernal erny]
2025/03/28 18:41:21 [INFO] input: ls ./intern; cursor_pos: 8; suffixes: [al y]
2025/03/28 18:41:22 [INFO] input: ls ./intern; cursor_pos: 8; suffixes: [al y]
2025/03/28 18:41:32 [INFO] input: /bi; cursor_pos: 3; suffixes: [n n.usr-is-merged]
2025/03/28 18:41:32 [INFO] input: /bin; cursor_pos: 3; suffixes: [ .usr-is-merged]
2025/03/28 18:41:33 [INFO] input: /bin; cursor_pos: 3; suffixes: [ .usr-is-merged]
2025/03/28 18:41:36 [INFO] input: /bin/l; cursor_pos: 6; suffixes: [andscape-broker andscape-client andscape-config andscape-manager andscape-monitor andscape-package-changer andscape-package-reporter andscape-release-upgrader andscape-sysinfo ast astb astlog cf d d.bfd d.gold d.so dd ess essecho essfile esskey esspipe exgrog ibnetcfg ink inux32 inux64 n nstat oadkeys oadunimap ocale ocale-check ocalectl ocaledef ogger ogin oginctl ogname ook s sattr sb_release sblk scpu shw sipc slocks slogins smem smod sns sof spgpot zcat zcmp zdiff zegrep zfgrep zgrep zless zma zmainfo zmore]
2025/03/28 18:41:36 [INFO] input: /bin/l; cursor_pos: 6; suffixes: [andscape-broker andscape-client andscape-config andscape-manager andscape-monitor andscape-package-changer andscape-package-reporter andscape-release-upgrader andscape-sysinfo ast astb astlog cf d d.bfd d.gold d.so dd ess essecho essfile esskey esspipe exgrog ibnetcfg ink inux32 inux64 n nstat oadkeys oadunimap ocale ocale-check ocalectl ocaledef ogger ogin oginctl ogname ook s sattr sb_release sblk scpu shw sipc slocks slogins smem smod sns sof spgpot zcat zcmp zdiff zegrep zfgrep zgrep zless zma zmainfo zmore]
2025/03/28 18:45:06 [INFO] input: ./Ma; cursor_pos: 4; suffixes: [kefile]
2025/03/28 18:50:09 Ctrl+C caught, but not exiting...
